"rank","business_name","telephone","email","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1","Cracker Barrel Old Country Store","(217) 876-8036","privacy@crackerbarrel.com","https://www.yellowpages.com/decatur-il/mip/cracker-barrel-old-country-store-468080822?lid=468080822","Restaurants,American Restaurants","http://www.crackerbarrel.com","1","5120 Hickory Point Frontage Rd","Decatur","IL","62526","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"2","La Gondola","(217) 875-4888","None","https://www.yellowpages.com/decatur-il/mip/la-gondola-455937821?lid=455937821","Restaurants,Italian Restaurants,Caterers","http://www.lagondoladecatur.com","3","2825 N Water St","Decatur","IL","62526","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"3","Downtown Cafe","(217) 428-1120","the_downtown_cafe@yahoo.com","https://www.yellowpages.com/decatur-il/mip/downtown-cafe-462308041?lid=462308041","Restaurants,American Restaurants","http://www.thedowntowncafe.net","","217 N Main St","Decatur","IL","62523","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"4","Wildflour Artisan Bakery & Cafe","(217) 422-3300","wildflourartisanbakery@gmail.com","https://www.yellowpages.com/decatur-il/mip/wildflour-artisan-bakery-cafe-461408821?lid=461408821","Restaurants,Bakeries,Coffee & Tea,Bagels","http://www.wildflourartisanbakery.com","","256 W Main St","Decatur","IL","62523","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"5","Beach House","(217) 422-7202","None","https://www.yellowpages.com/decatur-il/mip/beach-house-3662176?lid=3662176","Restaurants,Seafood Restaurants,Pizza","http://www.decaturbeachhouse.com","3","2301 S Lake Shore Dr","Decatur","IL","62521","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"6","First Wok","(217) 423-2900","None","https://www.yellowpages.com/decatur-il/mip/first-wok-2867473?lid=2867473","Restaurants,Chinese Restaurants","http://www.firstwokdecatur.com","5","1683 W King St","Decatur","IL","62522","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"7","IHOP","(217) 877-4467","information@ihop.com","https://www.yellowpages.com/decatur-il/mip/ihop-468081940?lid=468081940","Restaurants","http://www.ihop.com","3","1280 E Pershing Rd","Decatur","IL","62526","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"8","Starship & The Enterprise Grill","(217) 872-8882","starship_enterprisegrill@yahoo.com","https://www.yellowpages.com/decatur-il/mip/starship-the-enterprise-grill-6625646?lid=6625646","Restaurants,Pool Halls,Bar & Grills,Bars","","","3015 Grand Prix Dr","Decatur","IL","62526","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"9","Starbucks Coffee","(217) 875-6060","info@starbucks.com","https://www.yellowpages.com/decatur-il/mip/starbucks-coffee-456106345?lid=456106345","Restaurants","http://www.starbucks.com","","355 W Mound Rd","Decatur","IL","62526","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"10","Pizza Factory","(217) 428-4400","crawford@pizzafactory.com","https://www.yellowpages.com/decatur-il/mip/pizza-factory-466856080?lid=466856080","Restaurants,Pizza,Pasta,Sandwich Shops","http://pizzafactory.com","","397 W 1st Dr","Decatur","IL","62521","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"11","Claire’s Family Restaurant","(217) 428-3437","None","https://www.yellowpages.com/decatur-il/mip/claires-family-restaurant-521221340?lid=521221340","Restaurants","http://claresrestaurant.tripod.com","","2502 E William St","Decatur","IL","62521","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"12","McDonald's","(217) 872-1974","None","https://www.yellowpages.com/decatur-il/mip/mcdonalds-472420181?lid=472420181","Restaurants,Fast Food Restaurants","http://www.mcdonalds.com/?cid=RF:YXT:RoN::Clicks","","4030 E Boyd Rd","Decatur","IL","62521","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"13","Sol Bistro","(217) 330-6483","paco@solbistro.com","https://www.yellowpages.com/decatur-il/mip/sol-bistro-457129528?lid=457129528","Restaurants,American Restaurants","https://www.solbistro.com","2","237 N Main St","Decatur","IL","62523","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"14","Krekel's Custard","(217) 429-1122","None","https://www.yellowpages.com/decatur-il/mip/krekels-custard-7315596?lid=7315596","Restaurants,American Restaurants","http://www.krekelscustard.com","1","801 E Wood St","Decatur","IL","62521","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"15","Coney Mc Kane's American Etry","(217) 475-1111","None","https://www.yellowpages.com/decatur-il/mip/coney-mc-kanes-american-etry-13471607?lid=13471607","Restaurants,American Restaurants,Caterers","http://www.coneymckanes.com","1","104 E Prairie Ave","Decatur","IL","62523","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"16","Donnies Homespun Pizza","(217) 424-4344","None","https://www.yellowpages.com/decatur-il/mip/donnies-homespun-pizza-18609261?lid=18609261","Restaurants,Pizza,Caterers","http://www.donnieshomespun.com","2","126 S Oakland Ave","Decatur","IL","62522","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"17","Taproot Restaurant","(217) 330-6365","taprootrestaurant@gmail.com","https://www.yellowpages.com/decatur-il/mip/taproot-restaurant-483482634?lid=483482634","Restaurants,American Restaurants","http://www.taprootdecatur.com","","170 N Merchant St","Decatur","IL","62523","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"18","The Wharf","(217) 423-5450","None","https://www.yellowpages.com/decatur-il/mip/the-wharf-16145381?lid=16145381","Restaurants,American Restaurants","http://www.thewharfdecatur.com","","201 W 1st Dr","Decatur","IL","62521","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"19","Gin Mill","(217) 330-8073","None","https://www.yellowpages.com/decatur-il/mip/gin-mill-512616517?lid=512616517","Restaurants,American Restaurants","http://ginmilldecatur.com","","124 E Prairie Ave","Decatur","IL","62523","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"20","The Wagon","(217) 429-2260","None","https://www.yellowpages.com/decatur-il/mip/the-wagon-7575158?lid=7575158","Restaurants,American Restaurants","http://www.thewagondecatur.com","1","1987 N Jasper St","Decatur","IL","62526","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"21","Fuji Japanese Steakhouse and Sushi","(217) 872-0600","None","https://www.yellowpages.com/decatur-il/mip/fuji-japanese-steakhouse-and-sushi-453418918?lid=453418918","Restaurants,Japanese Restaurants","http://fujisteakhouse.com","","4292 N Prospect Dr","Decatur","IL","62526","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"22","El Corral Mexican Restaurant","(217) 233-1714","elcorral1@comcast.net","https://www.yellowpages.com/decatur-il/mip/el-corral-mexican-restaurant-4368860?lid=4368860","Restaurants,Mexican Restaurants","http://elcorralmexicanrestaurant.net","1","3655 E Us Route 36","Decatur","IL","62521","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"23","Diamonds Family Restaurant","(217) 875-6051","None","https://www.yellowpages.com/decatur-il/mip/diamonds-family-restaurant-8701824?lid=8701824","Restaurants,American Restaurants","http://diamondsfamilyrestaurant.com","2","2959 N Oakland Ave","Decatur","IL","62526","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"24","El Rodeo Mexican Restaurant","(217) 877-7547","None","https://www.yellowpages.com/decatur-il/mip/el-rodeo-mexican-restaurant-8050195?lid=8050195","Restaurants,Mexican Restaurants","","2","4204 N Prospect Dr","Decatur","IL","62526","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"25","Sloan's Calzones","(217) 422-4940","None","https://www.yellowpages.com/decatur-il/mip/sloans-calzones-459273288?lid=459273288","Restaurants,Pizza,Take Out Restaurants","http://www.sloanscalzones.com","2","190 N Merchant St","Decatur","IL","62523","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"26","Anna Thai","(217) 542-5972","annathaidecatur@gmail.com","https://www.yellowpages.com/decatur-il/mip/anna-thai-509805496?lid=509805496","Restaurants,Thai Restaurants","http://www.annathaidecatur.com","","253 N Main St","Decatur","IL","62523","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"27","Paul's Confectionery Inc","(217) 428-6665","None","https://www.yellowpages.com/decatur-il/mip/pauls-confectionery-inc-3722944?lid=3722944","Restaurants,Coffee Shops","http://paulschocolates.com.au","1","999 N Water St","Decatur","IL","62523","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"28","Doherty's","(217) 428-5612","None","https://www.yellowpages.com/decatur-il/mip/dohertys-9616086?lid=9616086","Restaurants,Bar & Grills,Bars,Night Clubs","http://www.dohertyspubandpins.com","","242 E William St","Decatur","IL","62523","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"29","Robbie's Grille","(217) 423-0448","None","https://www.yellowpages.com/decatur-il/mip/robbies-grille-6969787?lid=6969787","Restaurants,Bar & Grills,Caterers","http://www.robbiesgrill.com","","122 N Merchant St","Decatur","IL","62523","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
"30","Perkins Restaurant & Bakery","(217) 875-0743","None","https://www.yellowpages.com/decatur-il/mip/perkins-restaurant-bakery-5123646?lid=5123646","Restaurants,American Restaurants","https://stores.perkinsrestaurants.com/us/il/decatur/2999-n-monroe-st.html","2","2999 N Monroe St","Decatur","IL","62526","https://www.yellowpages.com/search?search_terms=restraunts&geo_location_terms=decatur,%20il"
